freq,psd_x,psd_y,psd_z,psd_xyz,zv(35.8),mzv(34.2),ei(39.4),2hump_ei(49.2),3hump_ei(59.4)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,1.992e-15,2.931e-15,2.402e-12,2.407e-12,0.992,0.988,0.986,0.983,0.981
3.1,8.241e-04,8.830e-04,3.366e-01,3.383e-01,0.980,0.969,0.964,0.958,0.954
4.6,1.360e-01,1.264e-01,1.731e+01,1.757e+01,0.963,0.945,0.935,0.926,0.920
6.1,6.239e-01,6.552e-01,6.731e+01,6.859e+01,0.942,0.915,0.900,0.887,0.879
7.7,1.204e+00,1.307e+00,1.219e+02,1.244e+02,0.917,0.880,0.859,0.843,0.832
9.2,1.578e+00,1.813e+00,2.068e+02,2.101e+02,0.889,0.840,0.813,0.793,0.780
10.8,1.669e+00,1.891e+00,2.584e+02,2.620e+02,0.856,0.796,0.762,0.739,0.724
12.3,1.356e+00,1.738e+00,3.076e+02,3.107e+02,0.821,0.748,0.708,0.682,0.665
13.8,1.315e+00,1.956e+00,3.525e+02,3.557e+02,0.781,0.697,0.650,0.622,0.604
15.4,1.299e+00,2.445e+00,4.168e+02,4.206e+02,0.739,0.643,0.591,0.561,0.542
16.9,1.281e+00,1.480e+00,4.633e+02,4.661e+02,0.694,0.587,0.530,0.500,0.480
18.4,1.211e+00,1.136e+00,5.667e+02,5.691e+02,0.646,0.530,0.469,0.439,0.419
20.0,1.118e+00,1.501e+00,6.658e+02,6.684e+02,0.596,0.472,0.408,0.380,0.360
21.5,1.043e+00,1.921e+00,7.806e+02,7.836e+02,0.544,0.414,0.349,0.322,0.304
23.1,9.567e-01,2.055e+00,1.005e+03,1.008e+03,0.489,0.356,0.292,0.268,0.252
24.6,9.915e-01,1.739e+00,1.353e+03,1.356e+03,0.434,0.299,0.237,0.217,0.203
26.1,1.438e+00,1.730e+00,1.922e+03,1.925e+03,0.376,0.244,0.187,0.171,0.160
27.7,2.206e+00,2.741e+00,2.968e+03,2.973e+03,0.318,0.191,0.140,0.130,0.122
29.2,2.830e+00,4.055e+00,5.072e+03,5.078e+03,0.259,0.141,0.099,0.094,0.089
30.7,4.586e+00,8.578e+00,8.540e+03,8.553e+03,0.200,0.095,0.063,0.064,0.064
32.3,7.858e+00,2.891e+01,1.052e+04,1.055e+04,0.141,0.055,0.035,0.041,0.047
33.8,1.336e+01,7.563e+01,1.089e+04,1.098e+04,0.092,0.036,0.020,0.029,0.038
35.4,2.762e+01,1.472e+02,1.072e+04,1.090e+04,0.064,0.040,0.025,0.028,0.037
36.9,5.770e+01,1.876e+02,9.468e+03,9.713e+03,0.073,0.059,0.034,0.033,0.039
38.4,7.643e+01,1.536e+02,7.771e+03,8.001e+03,0.109,0.084,0.039,0.037,0.040
40.0,3.349e+01,1.405e+02,5.768e+03,5.942e+03,0.162,0.104,0.039,0.038,0.039
41.5,1.128e+01,1.384e+02,3.946e+03,4.096e+03,0.217,0.119,0.033,0.037,0.037
43.0,9.409e+00,1.226e+02,2.620e+03,2.752e+03,0.271,0.128,0.029,0.033,0.033
44.6,9.232e+00,1.080e+02,1.865e+03,1.982e+03,0.324,0.133,0.028,0.027,0.027
46.1,5.563e+00,1.040e+02,1.451e+03,1.560e+03,0.374,0.132,0.035,0.020,0.021
47.6,6.834e+00,9.255e+01,1.164e+03,1.264e+03,0.423,0.127,0.049,0.013,0.015
49.2,7.847e+00,8.350e+01,9.503e+02,1.042e+03,0.469,0.116,0.076,0.011,0.012
50.7,1.224e+01,8.050e+01,8.060e+02,8.988e+02,0.512,0.101,0.110,0.012,0.013
52.3,1.614e+01,7.091e+01,6.715e+02,7.585e+02,0.553,0.092,0.147,0.019,0.017
53.8,9.385e+00,6.406e+01,4.951e+02,5.686e+02,0.590,0.085,0.186,0.025,0.022
55.3,8.603e+00,7.366e+01,4.000e+02,4.823e+02,0.625,0.081,0.227,0.029,0.026
56.9,9.435e+00,7.887e+01,3.541e+02,4.424e+02,0.656,0.082,0.268,0.032,0.029
58.4,1.389e+01,8.540e+01,3.535e+02,4.528e+02,0.685,0.090,0.310,0.031,0.030
59.9,2.273e+01,1.024e+02,4.051e+02,5.302e+02,0.709,0.104,0.351,0.028,0.030
61.5,1.997e+01,1.146e+02,4.440e+02,5.787e+02,0.731,0.124,0.391,0.027,0.028
63.0,1.352e+01,1.168e+02,4.194e+02,5.498e+02,0.749,0.151,0.429,0.027,0.024
64.6,1.076e+01,1.352e+02,4.106e+02,5.565e+02,0.763,0.191,0.465,0.030,0.020
66.1,8.845e+00,1.414e+02,4.023e+02,5.526e+02,0.773,0.232,0.498,0.036,0.014
67.6,6.818e+00,1.297e+02,3.811e+02,5.175e+02,0.780,0.273,0.527,0.044,0.013
69.2,7.285e+00,1.023e+02,3.505e+02,4.600e+02,0.784,0.314,0.553,0.063,0.012
70.7,9.239e+00,8.817e+01,3.311e+02,4.285e+02,0.784,0.354,0.574,0.089,0.013
72.2,1.111e+01,6.789e+01,2.755e+02,3.545e+02,0.780,0.392,0.591,0.117,0.014
73.8,1.358e+01,4.718e+01,1.995e+02,2.602e+02,0.773,0.429,0.604,0.147,0.018
75.3,1.631e+01,3.567e+01,1.450e+02,1.970e+02,0.762,0.464,0.611,0.178,0.022
76.9,1.706e+01,2.704e+01,1.034e+02,1.475e+02,0.748,0.495,0.614,0.210,0.024
78.4,1.814e+01,2.036e+01,7.982e+01,1.183e+02,0.731,0.524,0.612,0.243,0.025
79.9,1.971e+01,1.627e+01,7.474e+01,1.107e+02,0.711,0.550,0.605,0.275,0.024
81.5,2.200e+01,1.819e+01,8.289e+01,1.231e+02,0.687,0.572,0.594,0.307,0.024
83.0,2.031e+01,2.099e+01,8.662e+01,1.279e+02,0.662,0.591,0.578,0.337,0.025
84.5,2.129e+01,2.068e+01,8.198e+01,1.239e+02,0.633,0.606,0.558,0.365,0.027
86.1,2.674e+01,2.526e+01,8.586e+01,1.379e+02,0.602,0.616,0.535,0.391,0.030
87.6,1.859e+01,1.922e+01,7.544e+01,1.132e+02,0.569,0.623,0.508,0.415,0.035
89.2,1.923e+01,1.153e+01,6.844e+01,9.919e+01,0.533,0.626,0.478,0.435,0.041
90.7,1.472e+01,8.132e+00,6.113e+01,8.398e+01,0.496,0.624,0.446,0.451,0.057
92.2,9.838e+00,5.826e+00,5.522e+01,7.088e+01,0.457,0.619,0.411,0.464,0.078
93.8,8.637e+00,6.033e+00,5.059e+01,6.526e+01,0.418,0.609,0.376,0.473,0.101
95.3,1.054e+01,5.982e+00,4.514e+01,6.167e+01,0.379,0.596,0.339,0.478,0.125
96.8,1.317e+01,5.619e+00,4.399e+01,6.278e+01,0.358,0.580,0.303,0.479,0.150
98.4,1.595e+01,5.701e+00,4.985e+01,7.150e+01,0.339,0.560,0.266,0.476,0.176
99.9,1.493e+01,7.752e+00,5.721e+01,7.989e+01,0.321,0.537,0.230,0.468,0.201
101.4,1.401e+01,1.245e+01,6.773e+01,9.418e+01,0.307,0.511,0.196,0.457,0.227
103.0,1.948e+01,1.943e+01,1.020e+02,1.410e+02,0.295,0.483,0.165,0.443,0.251
104.5,2.511e+01,2.764e+01,1.418e+02,1.945e+02,0.287,0.453,0.150,0.425,0.274
106.1,2.760e+01,3.211e+01,1.631e+02,2.228e+02,0.283,0.422,0.137,0.404,0.296
107.6,2.879e+01,3.254e+01,1.637e+02,2.251e+02,0.283,0.389,0.126,0.381,0.315
109.1,3.613e+01,2.779e+01,1.543e+02,2.182e+02,0.286,0.355,0.116,0.356,0.332
110.7,3.425e+01,2.382e+01,1.432e+02,2.013e+02,0.293,0.321,0.109,0.329,0.347
112.2,3.083e+01,2.538e+01,1.360e+02,1.922e+02,0.303,0.287,0.103,0.301,0.358
113.7,3.409e+01,2.870e+01,1.349e+02,1.977e+02,0.315,0.254,0.099,0.272,0.366
115.3,4.464e+01,3.418e+01,1.419e+02,2.208e+02,0.328,0.225,0.096,0.243,0.370
116.8,5.546e+01,3.863e+01,1.563e+02,2.504e+02,0.343,0.211,0.095,0.214,0.372
118.4,5.821e+01,4.153e+01,1.604e+02,2.601e+02,0.359,0.198,0.095,0.186,0.370
119.9,5.833e+01,4.359e+01,1.529e+02,2.548e+02,0.387,0.187,0.097,0.159,0.364
121.4,5.232e+01,4.562e+01,1.400e+02,2.380e+02,0.421,0.178,0.099,0.134,0.356
123.0,5.171e+01,5.058e+01,1.377e+02,2.400e+02,0.452,0.170,0.103,0.111,0.345
124.5,5.140e+01,5.580e+01,1.337e+02,2.409e+02,0.482,0.163,0.108,0.094,0.331
126.0,4.843e+01,6.116e+01,1.339e+02,2.435e+02,0.510,0.159,0.115,0.085,0.314
127.6,4.805e+01,6.862e+01,1.364e+02,2.531e+02,0.535,0.155,0.122,0.078,0.296
129.1,5.042e+01,7.819e+01,1.362e+02,2.648e+02,0.558,0.153,0.130,0.072,0.276
130.7,5.096e+01,8.742e+01,1.303e+02,2.687e+02,0.579,0.151,0.139,0.067,0.255
132.2,6.019e+01,9.299e+01,1.258e+02,2.790e+02,0.597,0.150,0.149,0.062,0.232
133.7,6.532e+01,9.466e+01,1.198e+02,2.798e+02,0.612,0.150,0.170,0.058,0.210
135.3,7.547e+01,9.208e+01,1.153e+02,2.828e+02,0.624,0.150,0.196,0.055,0.187
136.8,1.155e+02,9.628e+01,1.242e+02,3.360e+02,0.634,0.150,0.222,0.053,0.164
138.3,1.210e+02,1.002e+02,1.198e+02,3.409e+02,0.641,0.151,0.247,0.051,0.143
139.9,1.532e+02,9.692e+01,1.190e+02,3.691e+02,0.646,0.152,0.273,0.049,0.122
141.4,1.392e+02,9.194e+01,1.092e+02,3.403e+02,0.647,0.154,0.297,0.048,0.102
142.9,1.061e+02,8.949e+01,9.881e+01,2.944e+02,0.646,0.156,0.320,0.047,0.085
144.5,1.105e+02,9.219e+01,9.837e+01,3.011e+02,0.643,0.159,0.341,0.047,0.069
146.0,8.376e+01,9.591e+01,9.411e+01,2.738e+02,0.636,0.163,0.360,0.047,0.062
147.6,6.028e+01,9.684e+01,9.047e+01,2.476e+02,0.628,0.167,0.377,0.047,0.057
149.1,6.287e+01,9.750e+01,8.411e+01,2.445e+02,0.616,0.172,0.391,0.047,0.052
150.6,7.516e+01,9.996e+01,8.960e+01,2.647e+02,0.603,0.178,0.403,0.048,0.049
152.2,5.098e+01,9.409e+01,7.643e+01,2.215e+02,0.587,0.184,0.412,0.049,0.045
153.7,4.899e+01,9.410e+01,7.343e+01,2.165e+02,0.569,0.191,0.417,0.051,0.043
155.2,5.102e+01,9.001e+01,7.017e+01,2.112e+02,0.550,0.199,0.420,0.052,0.040
156.8,5.663e+01,8.377e+01,7.063e+01,2.110e+02,0.528,0.207,0.420,0.054,0.038
158.3,7.483e+01,7.962e+01,8.057e+01,2.350e+02,0.505,0.224,0.417,0.056,0.036
159.9,8.921e+01,7.089e+01,9.060e+01,2.507e+02,0.481,0.247,0.411,0.059,0.035
161.4,1.214e+02,6.558e+01,1.091e+02,2.961e+02,0.456,0.270,0.402,0.062,0.034
162.9,1.667e+02,6.027e+01,1.250e+02,3.521e+02,0.430,0.293,0.391,0.065,0.033
164.5,2.067e+02,5.543e+01,1.453e+02,4.074e+02,0.413,0.315,0.377,0.069,0.032
166.0,2.257e+02,5.007e+01,1.634e+02,4.391e+02,0.405,0.336,0.361,0.073,0.031
167.5,2.298e+02,5.395e+01,1.734e+02,4.572e+02,0.397,0.356,0.343,0.077,0.030
169.1,2.933e+02,8.094e+01,2.050e+02,5.792e+02,0.390,0.374,0.324,0.082,0.030
170.6,2.824e+02,1.218e+02,2.386e+02,6.428e+02,0.384,0.390,0.304,0.092,0.030
172.2,3.972e+02,2.040e+02,2.682e+02,8.695e+02,0.378,0.405,0.283,0.107,0.029
173.7,3.825e+02,2.840e+02,2.634e+02,9.299e+02,0.374,0.417,0.261,0.122,0.029
175.2,3.338e+02,2.930e+02,2.537e+02,8.804e+02,0.371,0.427,0.239,0.139,0.029
176.8,2.664e+02,3.673e+02,2.438e+02,8.775e+02,0.369,0.434,0.218,0.155,0.029
178.3,2.617e+02,4.545e+02,2.271e+02,9.433e+02,0.368,0.439,0.197,0.172,0.030
179.8,2.173e+02,2.970e+02,1.495e+02,6.638e+02,0.368,0.442,0.184,0.188,0.030
181.4,1.622e+02,9.828e+01,6.403e+01,3.245e+02,0.370,0.442,0.177,0.203,0.030
182.9,1.275e+02,7.708e+01,4.114e+01,2.457e+02,0.372,0.439,0.171,0.217,0.030
