freq,psd_x,psd_y,psd_z,psd_xyz,zv(35.8),mzv(34.2),ei(39.4),2hump_ei(49.2),3hump_ei(59.4)
184.5,1.817e+02,1.112e+02,5.722e+01,3.501e+02,0.375,0.434,0.166,0.231,0.031
186.0,1.516e+02,7.639e+01,4.390e+01,2.719e+02,0.379,0.427,0.161,0.243,0.031
187.5,8.653e+01,5.561e+01,2.755e+01,1.697e+02,0.384,0.418,0.157,0.253,0.032
189.1,9.866e+01,6.157e+01,3.476e+01,1.950e+02,0.389,0.407,0.154,0.262,0.033
190.6,1.062e+02,6.023e+01,3.636e+01,2.028e+02,0.395,0.394,0.151,0.268,0.033
192.1,1.099e+02,6.153e+01,3.661e+01,2.081e+02,0.401,0.380,0.149,0.273,0.034
193.7,2.072e+02,1.836e+02,5.519e+01,4.460e+02,0.413,0.364,0.147,0.276,0.035
195.2,1.519e+02,1.426e+02,4.292e+01,3.375e+02,0.434,0.347,0.147,0.276,0.037
196.7,1.162e+02,1.419e+02,3.715e+01,2.952e+02,0.454,0.329,0.146,0.275,0.038
198.3,1.116e+02,1.725e+02,3.431e+01,3.183e+02,0.472,0.310,0.147,0.271,0.039
199.8,9.716e+01,1.274e+02,3.441e+01,2.590e+02,0.489,0.291,0.148,0.266,0.041
201.4,9.082e+01,1.116e+02,4.189e+01,2.443e+02,0.505,0.272,0.149,0.259,0.043
202.9,1.509e+02,1.746e+02,7.401e+01,3.995e+02,0.519,0.253,0.151,0.250,0.045
204.4,2.550e+02,2.677e+02,1.287e+02,6.514e+02,0.531,0.235,0.154,0.240,0.047
206.0,1.435e+02,1.737e+02,1.084e+02,4.255e+02,0.541,0.229,0.157,0.228,0.049
207.5,1.614e+02,1.720e+02,1.526e+02,4.860e+02,0.549,0.224,0.160,0.216,0.051
209.0,1.546e+02,1.510e+02,2.130e+02,5.187e+02,0.555,0.219,0.164,0.203,0.054
210.6,1.406e+02,1.454e+02,2.293e+02,5.152e+02,0.560,0.215,0.167,0.189,0.061
212.1,1.166e+02,1.157e+02,1.871e+02,4.194e+02,0.562,0.211,0.172,0.175,0.070
213.7,2.237e+02,1.189e+02,4.126e+02,7.552e+02,0.562,0.207,0.178,0.161,0.080
215.2,2.659e+02,1.213e+02,4.682e+02,8.555e+02,0.561,0.204,0.193,0.146,0.090
216.7,1.339e+02,6.031e+01,2.588e+02,4.529e+02,0.557,0.201,0.209,0.133,0.100
218.3,8.435e+01,4.581e+01,1.630e+02,2.932e+02,0.552,0.199,0.225,0.120,0.111
219.8,1.047e+02,4.243e+01,2.307e+02,3.778e+02,0.545,0.197,0.240,0.108,0.121
221.3,1.678e+02,5.072e+01,3.352e+02,5.538e+02,0.536,0.195,0.254,0.099,0.131
222.9,1.692e+02,4.796e+01,3.126e+02,5.297e+02,0.526,0.194,0.268,0.095,0.141
224.4,1.422e+02,5.712e+01,2.053e+02,4.047e+02,0.515,0.193,0.280,0.092,0.150
226.0,1.585e+02,6.607e+01,2.678e+02,4.923e+02,0.502,0.193,0.290,0.089,0.158
227.5,9.170e+01,5.013e+01,2.275e+02,3.693e+02,0.488,0.193,0.300,0.087,0.166
229.0,1.215e+02,5.499e+01,2.262e+02,4.026e+02,0.473,0.193,0.307,0.084,0.172
230.6,1.196e+02,3.820e+01,1.785e+02,3.363e+02,0.457,0.193,0.313,0.082,0.177
232.1,1.376e+02,1.923e+01,1.919e+02,3.487e+02,0.441,0.194,0.317,0.080,0.181
233.6,2.337e+02,2.062e+01,2.661e+02,5.205e+02,0.424,0.195,0.319,0.078,0.183
235.2,1.417e+02,1.302e+01,1.913e+02,3.461e+02,0.420,0.197,0.320,0.077,0.184
236.7,9.795e+01,1.198e+01,1.280e+02,2.379e+02,0.417,0.199,0.318,0.076,0.184
238.2,9.591e+01,1.278e+01,1.227e+02,2.314e+02,0.414,0.201,0.315,0.074,0.182
239.8,9.244e+01,1.158e+01,1.344e+02,2.384e+02,0.411,0.203,0.310,0.074,0.179
241.3,1.517e+02,1.648e+01,1.984e+02,3.666e+02,0.408,0.206,0.303,0.073,0.175
242.9,1.403e+02,1.525e+01,1.788e+02,3.344e+02,0.406,0.208,0.295,0.073,0.170
244.4,6.989e+01,9.259e+00,1.180e+02,1.971e+02,0.404,0.211,0.286,0.072,0.163
245.9,6.844e+01,1.028e+01,1.134e+02,1.922e+02,0.403,0.214,0.276,0.072,0.156
247.5,6.521e+01,1.247e+01,1.182e+02,1.959e+02,0.402,0.217,0.264,0.073,0.148
249.0,7.385e+01,2.063e+01,1.560e+02,2.505e+02,0.401,0.220,0.252,0.073,0.140
250.5,9.955e+01,4.380e+01,2.126e+02,3.559e+02,0.401,0.232,0.240,0.074,0.131
252.1,5.990e+01,4.443e+01,1.383e+02,2.426e+02,0.401,0.245,0.227,0.074,0.122
253.6,4.390e+01,4.187e+01,1.028e+02,1.886e+02,0.402,0.258,0.213,0.075,0.113
255.2,5.290e+01,3.936e+01,1.208e+02,2.131e+02,0.403,0.271,0.200,0.076,0.104
256.7,4.342e+01,2.660e+01,9.334e+01,1.634e+02,0.404,0.283,0.189,0.077,0.095
258.2,3.474e+01,1.839e+01,7.211e+01,1.252e+02,0.405,0.295,0.186,0.079,0.086
259.8,2.781e+01,1.698e+01,7.807e+01,1.229e+02,0.407,0.305,0.184,0.080,0.078
261.3,2.468e+01,1.452e+01,7.443e+01,1.136e+02,0.409,0.315,0.181,0.082,0.071
262.8,3.031e+01,1.946e+01,1.174e+02,1.672e+02,0.411,0.324,0.179,0.083,0.064
264.4,5.003e+01,2.767e+01,1.710e+02,2.487e+02,0.413,0.331,0.177,0.085,0.060
265.9,3.596e+01,1.826e+01,1.053e+02,1.595e+02,0.416,0.337,0.176,0.087,0.058
267.5,1.617e+01,9.344e+00,4.899e+01,7.450e+01,0.429,0.342,0.174,0.089,0.057
269.0,1.725e+01,8.181e+00,4.149e+01,6.693e+01,0.442,0.346,0.173,0.092,0.055
