freq,psd_x,psd_y,psd_z,psd_xyz,zv(148.6),mzv(110.4),ei(140.0),2hump_ei(123.4),3hump_ei(112.8)
172.3,4.560e+03,1.868e+03,1.137e+03,7.565e+03,0.218,0.087,0.062,0.056,0.058
173.9,4.561e+03,1.766e+03,1.116e+03,7.442e+03,0.231,0.085,0.071,0.065,0.069
175.4,4.447e+03,1.649e+03,1.079e+03,7.176e+03,0.244,0.083,0.080,0.076,0.080
177.0,4.174e+03,1.472e+03,1.020e+03,6.666e+03,0.257,0.082,0.090,0.086,0.092
178.5,3.723e+03,1.277e+03,9.299e+02,5.930e+03,0.270,0.081,0.099,0.097,0.105
180.0,1.419e+03,4.785e+02,3.627e+02,2.261e+03,0.283,0.080,0.109,0.108,0.117
181.6,1.917e+02,9.192e+01,5.002e+01,3.336e+02,0.296,0.081,0.119,0.120,0.130
183.1,1.198e+02,7.257e+01,2.986e+01,2.222e+02,0.308,0.081,0.129,0.132,0.143
184.7,1.288e+02,9.478e+01,2.785e+01,2.514e+02,0.321,0.083,0.140,0.144,0.157
186.2,1.147e+02,7.338e+01,3.189e+01,2.199e+02,0.333,0.085,0.151,0.156,0.170
187.7,9.877e+01,5.719e+01,3.417e+01,1.901e+02,0.345,0.088,0.162,0.168,0.184
189.3,1.024e+02,5.632e+01,4.878e+01,2.075e+02,0.358,0.092,0.173,0.181,0.197
190.8,1.132e+02,4.596e+01,4.725e+01,2.064e+02,0.370,0.096,0.184,0.194,0.211
192.4,1.175e+02,5.237e+01,4.164e+01,2.115e+02,0.381,0.100,0.195,0.207,0.224
193.9,1.306e+02,9.127e+01,4.776e+01,2.696e+02,0.393,0.106,0.206,0.220,0.237
195.4,1.193e+02,6.559e+01,3.907e+01,2.240e+02,0.405,0.111,0.218,0.233,0.250
197.0,1.234e+02,6.969e+01,5.748e+01,2.505e+02,0.416,0.117,0.230,0.246,0.263
198.5,1.070e+02,7.841e+01,1.175e+02,3.028e+02,0.428,0.124,0.241,0.259,0.275
200.0,1.186e+02,6.377e+01,1.068e+02,2.892e+02,0.439,0.131,0.253,0.272,0.286
201.6,1.429e+02,6.421e+01,9.014e+01,2.972e+02,0.450,0.138,0.265,0.284,0.297
203.1,1.841e+02,1.050e+02,1.578e+02,4.470e+02,0.461,0.148,0.276,0.297,0.308
204.7,2.428e+02,1.160e+02,1.781e+02,5.369e+02,0.472,0.161,0.288,0.309,0.317
206.2,2.416e+02,9.499e+01,1.372e+02,4.738e+02,0.483,0.173,0.300,0.322,0.327
207.7,2.745e+02,1.172e+02,2.563e+02,6.481e+02,0.493,0.186,0.311,0.334,0.335
209.3,3.140e+02,1.547e+02,4.363e+02,9.050e+02,0.504,0.198,0.323,0.345,0.343
210.8,3.924e+02,1.638e+02,3.406e+02,8.968e+02,0.514,0.211,0.335,0.357,0.349
212.4,3.938e+02,1.373e+02,2.085e+02,7.396e+02,0.524,0.224,0.346,0.368,0.355
213.9,5.032e+02,1.631e+02,4.269e+02,1.093e+03,0.534,0.237,0.358,0.378,0.360
215.4,5.726e+02,1.715e+02,4.055e+02,1.150e+03,0.543,0.249,0.369,0.388,0.364
217.0,4.587e+02,1.483e+02,2.223e+02,8.294e+02,0.553,0.262,0.380,0.398,0.368
218.5,4.249e+02,1.405e+02,1.620e+02,7.274e+02,0.562,0.275,0.391,0.407,0.370
220.1,4.489e+02,1.621e+02,2.807e+02,8.917e+02,0.571,0.288,0.402,0.416,0.371
221.6,4.405e+02,1.647e+02,2.708e+02,8.760e+02,0.580,0.300,0.413,0.425,0.372
223.1,4.044e+02,1.517e+02,1.761e+02,7.322e+02,0.589,0.313,0.424,0.432,0.371
224.7,3.757e+02,1.498e+02,1.369e+02,6.624e+02,0.598,0.325,0.434,0.440,0.370
226.2,3.278e+02,1.676e+02,2.509e+02,7.463e+02,0.606,0.338,0.444,0.446,0.368
227.7,2.958e+02,1.652e+02,2.747e+02,7.358e+02,0.615,0.350,0.454,0.452,0.364
229.3,2.928e+02,1.326e+02,1.938e+02,6.192e+02,0.623,0.362,0.464,0.458,0.360
230.8,2.598e+02,8.336e+01,1.136e+02,4.568e+02,0.631,0.374,0.474,0.463,0.355
232.4,2.775e+02,7.772e+01,1.040e+02,4.592e+02,0.639,0.386,0.483,0.467,0.350
233.9,2.809e+02,7.711e+01,1.268e+02,4.848e+02,0.646,0.398,0.492,0.471,0.343
235.4,2.017e+02,5.924e+01,1.456e+02,4.065e+02,0.654,0.409,0.501,0.474,0.336
237.0,1.790e+02,4.979e+01,1.060e+02,3.347e+02,0.661,0.421,0.509,0.476,0.328
238.5,1.654e+02,4.701e+01,5.560e+01,2.680e+02,0.668,0.432,0.518,0.478,0.319
240.1,1.580e+02,5.362e+01,7.044e+01,2.821e+02,0.675,0.443,0.526,0.479,0.310
241.6,1.947e+02,7.433e+01,9.338e+01,3.624e+02,0.681,0.453,0.533,0.479,0.300
243.1,1.572e+02,6.293e+01,9.729e+01,3.174e+02,0.688,0.464,0.541,0.479,0.290
244.7,1.221e+02,4.858e+01,6.573e+01,2.364e+02,0.694,0.474,0.548,0.478,0.280
246.2,1.148e+02,5.012e+01,4.315e+01,2.081e+02,0.700,0.484,0.555,0.476,0.269
247.8,1.044e+02,4.847e+01,3.263e+01,1.855e+02,0.706,0.493,0.561,0.474,0.257
249.3,1.119e+02,5.567e+01,4.078e+01,2.084e+02,0.711,0.503,0.567,0.471,0.246
250.8,1.095e+02,6.068e+01,4.468e+01,2.149e+02,0.717,0.512,0.573,0.468,0.234
252.4,8.321e+01,4.991e+01,3.233e+01,1.655e+02,0.722,0.521,0.578,0.464,0.222
253.9,7.793e+01,4.445e+01,2.374e+01,1.461e+02,0.727,0.529,0.583,0.459,0.210
255.4,7.285e+01,3.566e+01,1.805e+01,1.266e+02,0.732,0.537,0.588,0.454,0.198
257.0,6.500e+01,3.210e+01,1.257e+01,1.097e+02,0.736,0.545,0.592,0.448,0.186
258.5,6.518e+01,2.971e+01,1.151e+01,1.064e+02,0.740,0.553,0.596,0.442,0.174
260.1,5.560e+01,2.774e+01,1.118e+01,9.453e+01,0.745,0.560,0.599,0.435,0.162
261.6,5.342e+01,3.040e+01,1.689e+01,1.007e+02,0.749,0.567,0.603,0.428,0.151
263.1,5.450e+01,2.898e+01,2.209e+01,1.056e+02,0.752,0.573,0.605,0.420,0.139
264.7,6.666e+01,3.334e+01,2.483e+01,1.248e+02,0.756,0.579,0.608,0.412,0.128
266.2,5.225e+01,2.882e+01,2.009e+01,1.012e+02,0.759,0.585,0.610,0.403,0.118
267.8,4.150e+01,2.519e+01,1.487e+01,8.156e+01,0.762,0.590,0.611,0.394,0.107
269.3,4.329e+01,2.466e+01,1.169e+01,7.963e+01,0.765,0.595,0.613,0.384,0.098
